Player	Type	Index	Position X	Position Z	Angle
0	male	5	28.000000	24.000000	3.926988
1	male	1	24.000000	24.000000	3.926988
2	male	2	20.000000	24.000000	3.926988
3	male	3	16.000000	24.000000	3.926988
4	male	4	12.000000	24.000000	3.926988
5	female	0	28.000000	28.000000	0.000000
6	female	1	24.000000	28.000000	0.000000
7	female	2	20.000000	28.000000	0.000000
8	female	3	16.000000	28.000000	0.000000
9	female	4	12.000000	28.000000	0.000000
10	enby	0	20.000000	20.000000	3.926988
11	predator	0	0.000000	0.000000	0.785398
12	predator	1	-5.000000	5.000000	0.785398
13	predator	2	-10.000000	10.000000	0.785398
14	predator	3	-15.000000	15.000000	0.785398
15	predator	4	-20.000000	20.000000	0.785398
16	predator	5	5.000000	-5.000000	0.785398
17	predator	6	10.000000	-10.000000	0.785398
18	predator	7	15.000000	-15.000000	0.785398
19	predator	8	20.000000	-20.000000	0.785398
20	resource	0	-37.000000	-37.000000	0.000000
21	resource	1	-27.000000	-37.000000	0.000000
22	resource	2	-17.000000	-37.000000	0.000000
23	resource	3	-37.000000	-27.000000	0.000000
24	resource	4	-27.000000	-27.000000	0.000000
25	resource	5	-17.000000	-27.000000	0.000000
26	resource	6	-37.000000	-17.000000	0.000000
27	resource	7	-27.000000	-17.000000	0.000000
28	resource	8	-17.000000	-17.000000	0.000000
29	resource	9	-37.000000	-7.000000	0.000000
30	resource	10	-27.000000	-7.000000	0.000000
31	resource	11	-17.000000	-7.000000	0.000000
